timestamp,dest,src,rssi
1730229259.2824671,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-51
1730229259.3887718,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-49
1730229259.4168568,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-48
1730229259.496128,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-47
1730229259.7367055,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-48
1730229260.0115247,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-48
1730229260.5988245,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229260.8764184,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-47
1730229261.351513,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229261.7344205,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-48
1730229262.2038,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-48
1730229262.5752823,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-47
1730229262.6291788,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-49
1730229262.6581762,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-49
1730229263.1796482,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-49
1730229263.3162398,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-47
1730229263.529036,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-49
1730229263.6334777,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-49
1730229263.6676931,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229263.953076,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-47
1730229264.0250714,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-47
1730229264.5235677,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-47
1730229264.970501,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229265.0552468,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-49
1730229265.5063372,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-49
1730229265.8094516,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229266.0292222,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-53
1730229266.3529646,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-46
1730229266.8463774,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-53
1730229266.8686037,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-52
1730229267.5544,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-52
1730229268.036985,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-49
1730229268.6030881,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-55
1730229268.8405983,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229270.2145817,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229270.688471,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-51
1730229270.934072,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-51
1730229272.1254196,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-52
1730229272.2116485,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-53
1730229272.2346854,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-52
1730229273.2630486,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229273.9527965,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-46
1730229274.2751303,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-47
1730229274.6895123,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-46
1730229274.936799,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229275.5380945,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229276.1811595,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-44
1730229276.7722933,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-52
1730229277.0205805,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229277.3401732,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-48
1730229277.588832,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-51
1730229278.1883256,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-52
1730229278.7270563,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-52
1730229278.9129298,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229279.3594227,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229279.4085634,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-46
1730229279.5873442,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-54
1730229279.6030886,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-51
1730229279.6727865,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229280.079154,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
1730229280.148621,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-52
1730229280.3368742,44:12:44:69:9d:f2,d8:3a:dd:2f:4c:cc,-50
